nama,id,kode,tingkat
Legok,154234,360320,3
Mauk,154099,360308,3
Mekar Baru,154316,360333,3
Pagedangan,154246,360322,3
Pakuhaji,154178,360315,3
Panongan,154225,360319,3
Pasar Kemis,154143,360312,3
Rajeg,154129,360311,3
Sepatan,154193,360316,3
Sepatan Timur,154289,360330,3
Sindang Jaya,154281,360329,3
Solear,154298,360331,3
Sukadiri,154120,360310,3
Sukamulya,154265,360327,3
Teluknaga,154153,360313,3
Tigaraksa,154041,360303,3
Bangli,155398,510602,3
Kintamani,155415,510604,3
Susut,155388,510601,3
Tembuku,155408,510603,3
Banjar,155603,510804,3
Buleleng,155638,510806,3
Busungbiu,155587,510803,3
Gerokgak,155550,510801,3
Kubutambahan,155683,510808,3
Sawan,155668,510807,3
Seririt,155565,510802,3
Sukasada,155621,510805,3
Tejakula,155697,510809,3
Blahbatuh,155259,510402,3
Gianyar,155269,510403,3
Payangan,155314,510407,3
Sukawati,155246,510401,3
Tampaksiring,155287,510404,3
Tegallalang,155306,510406,3
Ubud,155297,510405,3
Jembrana,155025,510105,3
Melaya,155014,510104,3
Mendoyo,154992,510102,3
Negara,154979,510101,3
Pekutatan,155004,510103,3
Abang,155507,510705,3
Bebandem,155522,510706,3
Karangasem,155495,510704,3
Kubu,155540,510708,3
Manggis,155482,510703,3
Rendang,155464,510701,3
Selat,155531,510707,3
Sidemen,155471,510702,3
Denpasar Barat,155731,517103,3
Denpasar Selatan,155708,517101,3
Denpasar Timur,155719,517102,3
Denpasar Utara,153879,517104,3
Banjarangkan,155341,510502,3
Dawan,155375,510504,3
Klungkung,155356,510503,3
Nusa Penida,155324,510501,3
Baturiti,155151,510209,3
Kediri,155099,510206,3
Kerambitan,155070,510204,3
Marga,155115,510207,3
Penebel,155132,510208,3
Pupuan,155164,510210,3
Selemadeg,155036,510201,3
Selemadeg Barat,155058,510203,3
Selemadeg Timur,155047,510202,3
Tabanan,155086,510205,3
Botumoito,179057,750206,3
Dulupi,179025,750203,3
Mananggu,179047,750205,3
Paguyaman,164888,750201,3
Paguyaman Pantai,179067,750207,3
Tilamuta,179034,750204,3
Wonosari,179010,750202,3
Bone,179167,750309,3
Bone Raya,179182,750310,3
Bonepantai,179108,750304,3
Botupingge,179147,750307,3
Bulango Selatan,179226,750315,3
Bulango Timur,179237,750316,3
Bulango Ulu,179219,750314,3
Bulango Utara,179122,750305,3
Bulawa,179243,750317,3
Kabila,179084,750302,3
Kabila Bone,179157,750308,3
Pinogu,179253,750318,3
Suwawa,179097,750303,3
Suwawa Selatan,179203,750312,3
Suwawa Tengah,179212,750313,3
Suwawa Timur,179193,750311,3
Tapa,179076,750301,3
Tilongkabila,179132,750306,3
Anggrek,179410,750503,3
Atinggola,179376,750501,3
Biau,179488,750510,3
Gentuma Raya,179449,750506,3
Kwandang,179391,750502,3
Monano,179477,750509,3
Ponelo Kepulauan,179472,750508,3
Sumalata,179426,750504,3
Sumalata Timur,179499,750511,3
Tolinggula,179438,750505,3
Tomilito,179461,750507,3
Dumbo Raya,165835,757108,3
Dungingi,179531,757104,3
Hulonthalangi,179562,757109,3
Kota Barat,179510,757101,3
Kota Selatan,179518,757102,3
Kota Tengah,179544,757106,3
Kota Timur,179537,757105,3
Kota Utara,179524,757103,3
Sipatana,179551,757107,3
Asparaga,178949,750121,3
Batudaa,178789,750103,3
Batudaa Pantai,164551,750105,3
Bilato,178966,750123,3
Biluhu,178940,750120,3
Boliyohuto,178825,750109,3
Bongomeme,178855,750111,3
Dungaliyo,178977,750124,3
Limboto,178764,750101,3
Limboto Barat,178910,750117,3
Mootilango,178887,750114,3
Pulubala,178898,750116,3
Tabongo,178930,750119,3
Talaga Jaya,178960,750122,3
Telaga,178779,750102,3
Telaga Biru,178839,750110,3
Tibawa,178798,750104,3
Tilango,178921,750118,3
Tolangohula,178871,750113,3
Buntulia,179335,750409,3
Dengilo,179329,750408,3
Duhiadaa,179343,750410,3
Lemito,179270,750402,3
Marisa,179293,750404,3
Paguat,179302,750405,3
Patilanggio,179314,750406,3
Popayato,179259,750401,3
Popayato Barat,179368,750413,3
Popayato Timur,179360,750412,3
Randangan,179279,750403,3
Taluditi,179321,750407,3
Wanggarasi,179352,750411,3
Air Hangat,116894,150105,3
Air Hangat Barat,117116,150121,3
Air Hangat Timur,116979,150111,3
Batang Merangin,116928,150107,3
Bukitkerman,117100,150120,3
Danau Kerinci,116865,150102,3
Danau Kerinci Barat,117142,150123,3
Depati Tujuh,117046,150117,3
Gunung Kerinci,116911,150106,3
Gunung Raya,116852,150101,3
Gunung Tujuh,117005,150115,3
Kayu Aro,116957,150109,3
Kayu Aro Barat,117082,150119,3
Keliling Danau,116938,150108,3
Sitinjau Laut,116879,150104,3
Siulak,117019,150116,3
Siulak Mukai,117067,150118,3
Tanah Cogok,117129,150122,3
Bahar Selatan,117840,150510,3
Bahar Utara,117828,150509,3
Jambi Luar Kota,117696,150501,3
Kumpeh,117734,150503,3
Kumpeh Ulu,117781,150506,3
Maro Sebo,117752,150504,3
Mestong,117765,150505,3
Sekernan,117717,150502,3
Sungai Bahar,117800,150507,3
Sungai Gelam,117812,150508,3
Taman Rajo,117851,150511,3
Bangko,117169,150202,3
Bangko Barat,117266,150210,3
Batang Masumai,117281,150212,3
Jangkat,117157,150201,3
Jangkat Timur,117336,150218,3
Lembah Masurai,117250,150209,3
Margo Tabir,117361,150221,3
Muara Siau,117178,150203,3
Nalo Tantan,117273,150211,3
Pamenang,117219,150206,3
Pamenang Barat,117292,150213,3
Pamenang Selatan,117356,150220,3
Pangkalan Jambu,117327,150217,3
